company_name,employee_structure
LeisureJourney Adventures,"[Owner:P2dd6, Manager:Pde00, Manager, Employee, Employee, Employee, Employee, Employee]"
Select Mall Quick,"[Owner, Manager, Manager:P31e3, Employee, Employee:Pc125, Employee, Employee:Pe80b, Employee]"
ExploreGetaway Rental,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
City Path Shop,"[Owner:Pd12f, Manager, Manager, Employee, Employee, Employee, Employee:Pae6f, Employee:P6c64]"
RelaxJourney Fix,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee:P054f, Employee:P8b2c]"
YumEats Events,"[Owner, Manager:P8eb4, Manager:Pbd60, Employee, Employee, Employee, Employee, Employee]"
Story Chic E-Sports,"[Owner, Manager, Manager:P3a33, Employee, Employee:P22ba, Employee, Employee:P884d, Employee:P80d0]"
Star Reads,"[Owner, Manager:P220d, Manager, Employee, Employee, Employee:P77e8, Employee, Employee:P6faa]"
CapitalWise Trust,"[Owner, Manager, Manager:P3bce, Employee, Employee, Employee, Employee, Employee]"
Relax Journey World,"[Owner, Manager:P3c52, Manager, Employee:Pa7c7, Employee, Employee, Employee:P5f44, Employee]"
EducateCenter School,"[Owner:P12c3, Manager, Manager, Employee:P0b84, Employee, Employee, Employee, Employee]"
Circuit Ware Network,"[Owner, Manager:P833d, Manager, Employee, Employee:Pcd19, Employee, Employee, Employee]"
FinanceWise Capital,"[Owner, Manager, Manager:Pb8ac, Employee:P8b0c, Employee, Employee, Employee, Employee]"
Sound World Novels,"[Owner, Manager, Manager, Employee, Employee, Employee:P05ad, Employee, Employee]"
Zoom Wagon Autos,"[Owner, Manager:Pe23b, Manager, Employee:Pbd10, Employee, Employee, Employee:P02c9, Employee]"
EducateCampus School,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Move Express Nautical,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Sound World Sound,"[Owner:Pe1be, Manager, Manager, Employee:P6f3c, Employee, Employee:Pbcb3, Employee, Employee]"
StarChic Music,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
LearnHub Primary,"[Owner, Manager, Manager:P4544, Employee:Pad7b, Employee:P7fb1, Employee:Pd1d0, Employee, Employee]"
RouteRoutes Express,"[Owner:P5a80, Manager, Manager, Employee, Employee, Employee:P360e, Employee:P3838, Employee:P93a5]"
