company_name,employee_structure
CruiseGetaway Lodge,"[Owner, Manager, Manager, Employee:P59c3, Employee, Employee, Employee:P3996, Employee]"
Select Store Gadget,"[Owner:Pe6c8, Manager, Manager, Employee, Employee, Employee, Employee, Employee:P7739]"
Delicious Eats Bistro,"[Owner:P3ba2, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Well Care Care,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee:P8401, Employee:P07aa]"
Leisure Journey World,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee:Pdfe0, Employee]"
ExploreEscape Adventures,"[Owner:Pa731, Manager, Manager:P5289, Employee:P796f, Employee, Employee:Pf3f6, Employee:P9ef4, Employee]"
Route Ways Transfer,"[Owner, Manager, Manager, Employee, Employee:P983c, Employee:Pad71, Employee, Employee]"
Cine Productions,"[Owner, Manager:P5092, Manager, Employee, Employee, Employee, Employee, Employee]"
Capital Edge Finance,"[Owner, Manager:Pfe2a, Manager, Employee, Employee, Employee, Employee:P8e03, Employee]"
Go Ways Rentals,"[Owner:P3b4b, Manager:P91b6, Manager, Employee, Employee:P773e, Employee, Employee, Employee]"
StayGetaway Explore,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Fund Hub Capital,"[Owner:P76ae, Manager, Manager, Employee:Pb83f, Employee, Employee:P0b72, Employee, Employee]"
Trend Mall Fresh,"[Owner, Manager, Manager, Employee, Employee:P86e0, Employee, Employee, Employee]"
YumCuisine Wheels,"[Owner, Manager:P8356, Manager, Employee:P5c5a, Employee, Employee, Employee, Employee]"
Play World News,"[Owner, Manager, Manager, Employee, Employee:P500f, Employee, Employee, Employee]"
KnowledgeCampus Middle,"[Owner:P6281, Manager:P690f, Manager, Employee, Employee, Employee:Pdeaa, Employee:P194f, Employee]"
Auto Path Motors,"[Owner:P3bac, Manager, Manager, Employee, Employee:Pcfe5, Employee, Employee:P46b4, Employee]"
EducateInstitution Learn,"[Owner, Manager, Manager, Employee:P903e, Employee, Employee:P703d, Employee, Employee]"
Route Ways Commute,"[Owner, Manager, Manager, Employee, Employee, Employee:P73c9, Employee, Employee]"
Style Flicks Play,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Dinero Finance,"[Owner, Manager, Manager:Pfe1d, Employee, Employee, Employee, Employee, Employee]"
Tour Escape Stay,"[Owner, Manager, Manager, Employee, Employee, Employee:P592c, Employee, Employee]"
Fund Invest,"[Owner, Manager:P5b62, Manager, Employee:P78ea, Employee, Employee, Employee, Employee:P4571]"
FeastCuisine Taste,"[Owner, Manager, Manager:P6626, Employee, Employee, Employee, Employee, Employee]"
Money Finance,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Learn Center School,"[Owner, Manager:P1e78, Manager, Employee, Employee, Employee:Pe22d, Employee, Employee]"
City Ways Repair,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
LogicSolutions Wireless,"[Owner, Manager, Manager:P4b29, Employee, Employee:Pce10, Employee, Employee, Employee]"
A Taste of Delight Go,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Fund Hub Digital,"[Owner, Manager, Manager, Employee:Pf287, Employee, Employee, Employee, Employee:P99b1]"
Flavor Bite Events,"[Owner, Manager, Manager, Employee:P9087, Employee, Employee, Employee, Employee]"
EducateCampus Learn,"[Owner:P8a9c, Manager, Manager:Pa6e7, Employee, Employee, Employee:P7093, Employee, Employee]"
Style Chic Novels,"[Owner, Manager:Paa2f, Manager, Employee, Employee, Employee, Employee, Employee]"
