id,company_name,website,industry,sub_industry,employee_structure,main_phone,founded,social_media,client_scope,clients,hq,locations,market_share
C00011,Art Quest Joy,kttp://www.artquestjoy.com,Entertainment,Hobbies,"[Owner:Pe4d9, Manager, Manager, Employee, Employee:P66ef, Employee, Employee, Employee]",Work: (803) 453-4281,2019,[],Regional,"[Pf619, Pea0f, P8eb4, Pd12f, Pcd9f, P1a34, P833d, P11b9, P1ac2, P3c52, P6c64, P8b2c]","Business: 6836 Fox Freeway , Watsonbury, WY - 82235",[],0.41
C00012,JourneyPath Shuttle,kttp://www.journeypathshuttle.com,Transportation,Bus,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee:Pe8f5, Employee]",Work: (377) 103-7272,2088,[],Regional,[Pbdb9],"Business: 9267 Alex Loaf , Lake Michelle, NV - 89797",[],0.06
C00013,Explore Escape Home,kttp://www.exploreescapehome.com,Hospitality,Private House Rental,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (712) 331-2785,2087,[],Regional,"[P2ce3, P3f61, P59c6, P92b6, P360e, P3a33, P98f7, P589a, Pb177, Padad, P4bfc, Pe1be, Pe23b, P4544]","Business: 463 Duarte Turnpike , Christopherton, MT - 59286",[],0.99
C00014,SpeedPath Boating,kttp://www.speedpathboating.com,Transportation,Boat,"[Owner, Manager:Pea0f, Manager:P26bd, Employee:P4f71, Employee:Pdb22, Employee, Employee:P9005, Employee]",Work: (414) 973-7437,2090,[],Regional,"[Pa794, P1dd3, Pebce, P3b53, P311f, P3838, Pf6c8, P0a35]","Business: 102 Dawson Loaf , West Leslie, TN - 37795",[],0.36
C00015,Academy Institution Learning,kttp://www.academyinstitutionlearning.com,Education,Community College,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (867) 462-1851,2080,[],Regional,"[P56d2, P99e6]","Business: 809 Freeman Turnpike, Port Andrewton, PA - 17757",[],0.63
C00016,CodeSystems ISP,kttp://www.codesystemsisp.com,Technology,Internet Service Providers,"[Owner:P99e6, Manager, Manager, Employee, Employee, Employee, Employee, Employee:Pb8fa]",Work: (954) 620-3861,2037,[],Regional,"[P48fc, P3bce, Pd893, P884d, P1f00, Pbd60, P80d0, P90ae, Pde00, P2dd6]","Business: 503 Danielle Fort , Maryview, TX - 77069",[],0.61
C00017,Move Move,kttps://www.movemove.com,Transportation,Relocation,"[Owner, Manager:Pc560, Manager, Employee, Employee:P53f5, Employee, Employee:Pa1c6, Employee]",Work: (507) 561-0219,2099,[],Regional,[P2f63],"Business: 308 Price Way, North Gregory, AK - 99601",[],0.26
C00018,Educate University,kttp://www.educateuniversity.com,Education,University,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (238) 926-0861,2093,[],Regional,"[P2ce3, P92b6, Pb177, P4bfc, Pe1be, Pe23b, P4544]","Business: 61471 Garcia Throughway, Livingstonmouth, SD - 57358",[],0.47
C00019,DineroEdge Trust,kttp://www.dineroedgetrust.com,Finance,Bank,"[Owner, Manager, Manager, Employee, Employee, Employee:Pb929, Employee:P589a, Employee]",Work: (507) 238-7930,2098,[],Regional,"[P054f, P8eb4, Pe4d9, P27d3, P6761, P833d, P11b9, Pcd19, P3c52]","Business: 31737 Alicia Roads , Robertsborough, NV - 89642",[],0.23
C00020,LogicSolutions Hub,kttp://www.logicsolutionshub.com,Technology,Social Media,"[Owner, Manager, Manager:P8ab5, Employee, Employee, Employee, Employee:P9263, Employee]",Work: (909) 881-5268,2086,[],Regional,"[P5610, P8a43, Pa794, P1ee0, P2835, P1dd3, P2cda, P36bf, P3b53, Pb5ba, P311f, P3838, P0a35]","Business: 12682 Lauren Keys , New Mirandamouth, FL - 33982",[],0.56
C00021,Institute Public,kttps://www.institutepublic.com,Education,Public 10-12,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (147) 726-6245,2095,[],Regional,"[P40ce, P4f5e, Pad7b, Pfeea, Pbcb3]","Business: 231 Hicks Spring , Dixonview, WV - 26255",[],0.62
C00022,TechSync Connect,kttps://www.techsyncconnect.com,Technology,Internet Service Providers,"[Owner, Manager, Manager, Employee:P5610, Employee:Pa33c, Employee, Employee, Employee]",Work: (904) 628-5228,2075,[],Regional,"[P40ce, Pe80b, Pbcb3]","Business: 3325 Williams Loaf , West Laurenfort, MD - 21664",[],0.32
C00023,City Wagon Repair,kttp://www.citywagonrepair.com,Automotive,Mechanic,"[Owner, Manager, Manager, Employee, Employee:Pf788, Employee, Employee, Employee]",Work: (822) 623-2932,2096,[],Regional,"[P59c6, Pb177, Padad, Pe1be]","Business: 800 Patricia Locks, Simmonsburgh, SD - 57260",[],0.21
C00024,Care Med Special,kttps://www.caremedspecial.com,Healthcare,Specialized Clinics,"[Owner:P8a43, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (784) 605-9842,2074,[],Regional,"[P2b9f, P6faa]","Business: 352 Johnson Burg , Cobbton, IN - 46356",[],0.09
C00025,JourneyRoutes Express,kttps://www.journeyroutesexpress.com,Transportation,Train,"[Owner, Manager:P2dda, Manager, Employee, Employee, Employee, Employee:P9faa, Employee]",Work: (632) 435-6031,2099,[],Regional,"[P054f, Pea0f, P8eb4, P2d4e, Pe4d9, P31e3, Pbdb9, Pd12f, Pcd9f, P27d3, P1a34, P833d, P11b9, Pcd19, P45c4, P1ac2, P51c8, P3c52, Paba6, P6c64, P8b2c, P8bdf, P169f, P9f73]","Business: 25464 Lauren Avenue, New Timothyside, WY - 82613",[],0.96
C00026,DineroWise Wealth,kttps://www.dinerowisewealth.com,Finance,Investment Firm,"[Owner:P40ce, Manager, Manager:Pfb56, Employee:Pa794, Employee, Employee, Employee:P27d3, Employee]",Work: (707) 301-7927,2094,[],Regional,[P3a33],"Business: 6652 Williams Place, Donnaton, MN - 55351",[],0.14
C00027,TourEscape Services,kttps://www.tourescapeservices.com,Hospitality,Cleaning Services,"[Owner, Manager, Manager, Employee:P7e87, Employee:P2cda, Employee, Employee:P311f, Employee]",Work: (369) 117-6026,2098,[],Regional,"[P7e87, P2b9f, Pdb22, Pc4e9, P9faa, P70c4, P72d0, P05ad, P7fb1, P6faa, P77e8, Pccdd, P0b84, P9005, Pf788, P02c9, Pe8f5]","Business: 35284 Brown Pine, South Teresafurt, OH - 45155",[],0.93
C00028,Capital Wise Finance,kttp://www.capitalwisefinance.com,Finance,Bank,"[Owner, Manager:P59c6, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (331) 536-5415,2088,[],Regional,"[P5610, Pa794, P1ee0, P8df0, P2cda, Pebce, P3b53, Pb5ba, P311f, P3838, Pf6c8, Paee9, P0a35]","Business: 8776 Knox Junctions, East James, AL - 35541",[],0.58
C00029,Circuit Hub Hub,kttps://www.circuithubhub.com,Technology,Community,"[Owner:P6761, Manager, Manager, Employee, Employee, Employee, Employee:P1ac2, Employee:P95c1]",Work: (208) 749-2294,2094,[],Regional,"[P1c7a, P6133, P7a9a, P26bd, P8016, P5a80]","Business: 98971 Shawn Grove , Lesliestad, MO - 63476",[],0.49
C00030,ShopHub Build,kttp://www.shophubbuild.com,Retail,Hardware,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (131) 247-8455,2096,[],Regional,"[P054f, P2d4e, Pe4d9, Pbdb9, Pd12f, P27d3, Pa33c, P1a34, P11b9, P45c4, P1ac2, P51c8, P3c52, Paba6, P6c64, P8b2c, P9f73]","Business: 50314 Watkins Cove, Hatfieldfurt, CO - 81122",[],0.78
C00031,Rehab Care Senior,kttp://www.rehabcaresenior.com,Healthcare,Elderly Care,"[Owner, Manager, Manager, Employee:Pfeea, Employee, Employee, Employee, Employee]",Work: (227) 454-7589,2092,[],Regional,"[P5610, P8a43, Pa794, P1ee0, P2835, P1dd3, Pd917, P2cda, P36bf, P3b53, Pb5ba, Pf6c8, P0a35]","Business: 70992 Mann Road , East Kayla, AL - 35024",[],0.71
C00032,Health Care Rehab,kttps://www.healthcarerehab.com,Healthcare,Rehabilitation,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (345) 556-0678,2092,[],Regional,"[Pa9bf, P3017, Pb8fa]","Business: 3103 Young Freeway, Debramouth, MA - 02179",[],0.67
C00033,Fund Wise Bank,kttp://www.fundwisebank.com,Finance,Bank,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee:P6a31, Employee]",Work: (193) 681-0430,2098,[],Regional,"[P7e87, P2b9f, Pdb22, P72d0, P05ad, P7fb1, P6faa, Pccdd, P9005, Pf788, P02c9]","Business: 552 Jessica Shore, West Isaiah, OH - 44460",[],0.52
C00034,YumCuisine Wheels,kttps://www.yumcuisinewheels.com,Food and Beverage,Food Truck,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (694) 855-3019,2099,[],Regional,"[P054f, Pcd9f, Pa33c, Paba6, P6c64]","Business: 56347 Annette Divide, Jasontown, ID - 83369",[],0.29
C00035,CircuitHub Hub,kttp://www.circuithubhub.com,Technology,Social Media,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (349) 163-0632,2091,[],Regional,"[P3f61, P3a33, P98f7, P589a, Pb177, P4bfc, Pe23b]","Business: 2880 Willie Corners, Hernandezburgh, ND - 58535",[],0.44
C00036,Doc Care Care,kttp://www.doccarecare.com,Healthcare,Pharmaceutical,"[Owner, Manager, Manager, Employee:P7a9a, Employee:Pb5ba, Employee, Employee, Employee]",Work: (253) 784-3118,2099,[],Regional,"[P3650, P69b2, P3017, Pbd10, Pb8fa, Pae6f]","Business: 4714 James Ville , Westfurt, VT - 05418",[],0.63
C00037,Rehab Wellness Medical,kttp://www.rehabwellnessmedical.com,Healthcare,Hospital,"[Owner, Manager, Manager, Employee, Employee:P0a35, Employee, Employee, Employee]",Work: (291) 233-5983,2098,[],Regional,"[P3f61, P59c6, P92b6, P3a33, P98f7, P589a, Pe23b]","Business: 655 Rogers Spurs , Michaelbury, IA - 50418",[],0.67
C00038,Commute Routes Ships,kttp://www.commuteroutesships.com,Transportation,Boat,"[Owner, Manager, Manager, Employee, Employee:Pd893, Employee:Pb177, Employee, Employee:P69b2]",Work: (801) 867-5937,2030,[],Regional,"[P2ce3, P3f61, P59c6, P92b6, P3a33, P98f7, P589a, Pb177, P4bfc, Pe1be, Pe23b, P4544]","Business: 832 Jeffrey Mission, East Davidhaven, ND - 58471",[],0.78
C00039,WealthEdge Wealth,kttp://www.wealthedgewealth.com,Finance,Investment Firm,"[Owner, Manager, Manager:P6133, Employee, Employee, Employee:P169f, Employee, Employee]",Work: (647) 753-3700,2096,[],Regional,"[Pc125, P066e, P4a70, Pa7c7, P95c1]","Business: 727 Richard Corner , Wolfeberg, OR - 97322",[],0.38
C00040,Stay Escape Discover,kttps://www.stayescapediscover.com,Hospitality,Other,"[Owner, Manager, Manager:P9b0f, Employee, Employee, Employee, Employee, Employee:Pccdd]",Work: (868) 586-0951,2090,[],Regional,"[P3650, Pa9bf, P69b2, Pbd10, Pd740, Pb8fa, P93a5, Pae6f]","Business: 418 Dominic Ranch, Davidsonland, RI - 02930",[],0.38
C00041,A Taste ofBite Sips,kttps://www.atasteofbitesips.com,Food and Beverage,Drinks,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (846) 909-5207,2038,[],Regional,[],"Business: 26198 Alex Rapid , South Lydiachester, NE - 68074",[],0.24
C00042,Stay Getaway World,kttps://www.staygetawayworld.com,Hospitality,Theme Park,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (672) 613-5790,2098,[],Regional,"[P2ce3, P98f7, P589a, Pb177, Padad, Pe23b]","Business: 99 Melissa Harbor , New Angelafurt, WI - 54719",[],0.36
C00043,Med Med Medical,kttps://www.medmedmedical.com,Healthcare,Hospital,"[Owner, Manager:Paba6, Manager, Employee:P1ee0, Employee, Employee, Employee, Employee]",Work: (178) 547-9290,2096,[],Regional,"[P5610, P8a43, P1ee0, P2cda, Pebce, P311f, P3838, Pf6c8]","Business: 92730 Patricia Forge , Lake Erinport, AL - 36772",[],0.6
C00044,InvestVault Mortgage,kttps://www.investvaultmortgage.com,Finance,Loans / Mortgage Lender,"[Owner, Manager, Manager, Employee, Employee, Employee:Pc4e9, Employee, Employee]",Work: (558) 468-3893,2062,[],Regional,"[P40ce, P6a31, P12c3, P4f5e, P9dda, Pad7b, Pfeea, Pbcb3, P6f3c, P0450, P53f5, P2dda]","Business: 76321 Stephen Unions, East Jessicaside, DC - 20010",[],0.87
C00045,CruiseEscape Inn,kttp://www.cruiseescapeinn.com,Hospitality,Hotels,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee:P92b6]",Work: (237) 488-3297,2097,[],Regional,"[P2b9f, P70c4, P05ad, P77e8]","Business: 530 Murphy Brook , North Marcton, KY - 40336",[],0.48
C00046,RouteRoutes Move,kttp://www.routeroutesmove.com,Transportation,Relocation,"[Owner:P1a34, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (552) 111-0951,2098,[],Regional,[],"Business: 5650 Aguilar View , Lauraville, NH - 03657",[],0.05
C00047,TransitRoutes Air,kttps://www.transitroutesair.com,Transportation,Airline,"[Owner, Manager, Manager, Employee, Employee:Paee9, Employee, Employee, Employee:P98f7]",Work: (392) 599-5786,2087,[],Regional,"[P1c7a, Pe4b8, Pfb56, P4fed]","Business: 8059 Kristie Shoals , Lake Courtney, KS - 66189",[],0.42
C00048,Well Life Med,kttp://www.welllifemed.com,Healthcare,Doctor,"[Owner, Manager, Manager, Employee, Employee, Employee:P8016, Employee, Employee:P3650]",Work: (485) 935-9973,2098,[],Regional,"[Pf619, P054f, Pea0f, P8eb4, P2d4e, Pe4d9, P31e3, Pbdb9, Pd12f, Pcd9f, P27d3, Pa33c, P6761, P1a34, P833d, P11b9, Pcd19, P45c4, P1ac2, P51c8, P3c52, Paba6, P6c64, P4f71, P8b2c, P8bdf, P169f, P9f73]","Business: 6465 Laurie Stravenue , New Veronica, ID - 83684",[],0.97
C00049,Well Med Special,kttp://www.wellmedspecial.com,Healthcare,Specialized Clinics,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (161) 237-5179,2090,[],Regional,"[P40ce, P12c3, P4f5e, Pfeea, Pbcb3, P53f5, P2dda]","Business: 12357 Reynolds Via , West Meganview, MD - 21924",[],0.39
C00050,YumSip Feast,kttp://www.yumsipfeast.com,Food and Beverage,Catering,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (683) 803-9119,2099,[],Regional,[P3650],"Business: 656 Bradley Burg, North Devinville, ME - 04949",[],0.12
C00051,CommuteRoutes Taxi,kttps://www.commuteroutestaxi.com,Transportation,Ride Sharing / Taxi,"[Owner, Manager, Manager, Employee, Employee, Employee:P4fed, Employee, Employee:P1f00]",Work: (535) 527-9147,2096,[],Regional,[Pd740],"Business: 68369 Collins Ford, Scotthaven, NJ - 08019",[],0.14
C00052,SpeedPath Dealership,kttp://www.speedpathdealership.com,Automotive,Dealership,"[Owner:P4bfc, Manager, Manager, Employee, Employee, Employee:P5802, Employee:P1c7a, Employee]",Work: (281) 587-6967,2096,[],Regional,"[P40ce, P12c3, P9dda, Pad7b, P53f5, P2dda]","Business: 14579 David Fields , Gloriashire, NC - 28196",[],0.41
C00053,Study Campus High,kttp://www.studycampushigh.com,Education,Public 10-12,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (742) 724-5120,2080,[],Regional,"[P6133, Pa1c6, Pe4b8, Pb8ac, P8b0c, P26bd, P8016, Pfb56, P4fed]","Business: 642 Meza Burg, East Clifford, NE - 68101",[],0.67
C00054,FundEdge Finance,kttps://www.fundedgefinance.com,Finance,Loans / Mortgage Lender,"[Owner, Manager:Pf619, Manager, Employee:P9f73, Employee, Employee:Pe923, Employee:P0450, Employee]",Work: (657) 591-0789,2084,[],Regional,[P5f44],"Business: 4275 Johnson Orchard, Jaimeville, CA - 93871",[],0.09
C00055,Move Ways Rides,kttps://www.movewaysrides.com,Transportation,Ride Sharing / Taxi,"[Owner:Pbdb9, Manager, Manager, Employee, Employee:Padad, Employee, Employee, Employee]",Work: (943) 570-8196,2089,[],Regional,"[P9263, P5802, Pc125, P066e, P220d, Pc560, P4a70, P5f44, P2f63, Pa7c7, Pf851, P95c1]","Business: 19559 Young Overpass, Port Danielbury, OR - 97013",[],0.99
C00056,LogicSystems Connect,kttp://www.logicsystemsconnect.com,Technology,Community,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (579) 802-4833,2051,[],Regional,"[P40ce, Pe80b, P53f5]","Business: 82456 Jason Wall , West Joshua, DC - 20034",[],0.19
C00057,CommutePath Freight,kttp://www.commutepathfreight.com,Transportation,Shipping / Freight,"[Owner, Manager, Manager, Employee, Employee, Employee:P1dd3, Employee, Employee:Pcd9f]",Work: (423) 919-5556,2098,[],Regional,[P56d2],"Business: 406 Joel Roads , Garciafurt, DE - 19957",[],0.08
C00058,Yum Sip Mobile,kttps://www.yumsipmobile.com,Food and Beverage,Food Truck,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee:P3b53]",Work: (443) 981-3034,2098,[],Regional,"[P5610, P8a43, Pa794, P1ee0, P2835, P1dd3, P8df0, Pd917, Pebce, P36bf, P3b53, P311f, Pf6c8, Paee9, P0a35]","Business: 6100 Greene Lakes, Port Jaredton, FL - 33469",[],0.85
C00059,A Taste ofDine Cuisine,kttp://www.atasteofdinecuisine.com,Food and Beverage,Catering,"[Owner, Manager, Manager, Employee, Employee, Employee:P066e, Employee:Pd917, Employee]",Work: (828) 441-3340,2097,[],Regional,"[P3650, Pa9bf, P3017, Pbd10, P93a5, Pae6f, Pb929]","Business: 65945 Evans Course , Amyton, RI - 02895",[],0.48
C00060,LeisureJourney Adventures,kttp://www.leisurejourneyadventures.com,Hospitality,Other,"[Owner:P2dd6, Manager:Pde00, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (282) 756-3042,2099,[],Regional,"[Pa33c, P45c4, P1ac2, P51c8, P169f]","Business: 253 Paul Dam, Ashleyfurt, UT - 84758",[],0.26
C00061,Select Mall Quick,kttps://www.selectmallquick.com,Retail,Convenience,"[Owner, Manager, Manager:P31e3, Employee, Employee:Pc125, Employee, Employee:Pe80b, Employee]",Work: (867) 994-6234,2081,[],Regional,[P0450],"Business: 526 Foster Ridge, Matthewmouth, NC - 27099",[],0.19
C00062,ExploreGetaway Rental,kttps://www.exploregetawayrental.com,Hospitality,Private House Rental,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (826) 766-4720,2067,[],Regional,"[Pf619, P054f, Pea0f, P8eb4, P2d4e, P31e3, Pbdb9, Pd12f, Pcd9f, P27d3, P6761, P1a34, P833d, P11b9, Pcd19, P45c4, P1ac2, P51c8, P3c52, Paba6, P6c64, P4f71, P8b2c, P8bdf, P169f, P9f73]","Business: 8995 David Wells, Lake Robynbury, WY - 82717",[],0.88
C00063,City Path Shop,kttps://www.citypathshop.com,Automotive,Mechanic,"[Owner:Pd12f, Manager, Manager, Employee, Employee, Employee, Employee:Pae6f, Employee:P6c64]",Work: (651) 983-9778,2060,[],Regional,"[P589a, P4bfc]","Business: 347 Hector Vista , Lake Tammymouth, MN - 55962",[],0.1
C00064,RelaxJourney Fix,kttp://www.relaxjourneyfix.com,Hospitality,Repair,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee:P054f, Employee:P8b2c]",Work: (116) 411-3164,2097,[],Regional,"[P8a43, P1ee0, P2835, P1dd3, P8df0, P2cda, Pf6c8]","Business: 901 Little Flats , Gregoryton, AL - 36858",[],0.46
C00065,YumEats Events,kttp://www.yumeatsevents.com,Food and Beverage,Catering,"[Owner, Manager:P8eb4, Manager:Pbd60, Employee, Employee, Employee, Employee, Employee]",Work: (595) 580-4041,2090,[],Regional,"[Pe4d9, P31e3, Pcd9f, P27d3, P833d, Pcd19, Paba6, P6c64, P4f71, P169f]","Business: 962 Camacho Loaf, Port Andrewview, AZ - 85363",[],0.45
C00066,Story Chic E-Sports,kttps://www.storychice-sports.com,Entertainment,Gaming,"[Owner, Manager, Manager:P3a33, Employee, Employee:P22ba, Employee, Employee:P884d, Employee:P80d0]",Work: (411) 822-0685,2098,[],Regional,"[P48fc, P3bce, Pe923, Pd893, P884d, Pbd60, P66ef, P80d0, P90ae, P2dd6, P22ba]","Business: 83750 Keith Canyon, Port Tiffany, TX - 78396",[],0.87
C00067,Star Reads,kttps://www.starreads.com,Entertainment,Books,"[Owner, Manager:P220d, Manager, Employee, Employee, Employee:P77e8, Employee, Employee:P6faa]",Work: (928) 972-6285,2096,[],Regional,[],"Business: 4733 Jody Fall, South Brian, NC - 28526",[],0.04
C00068,CapitalWise Trust,kttp://www.capitalwisetrust.com,Finance,Bank,"[Owner, Manager, Manager:P3bce, Employee, Employee, Employee, Employee, Employee]",Work: (133) 907-8413,2097,[],Regional,"[Pf619, P054f, P8eb4, P2d4e, Pe4d9, P31e3, Pbdb9, Pcd9f, Pa33c, P6761, P833d, P11b9, Pcd19, P45c4, P1ac2, P3c52, P4f71, P8bdf]","Business: 7647 Warren Square , Russellmouth, CO - 80231",[],0.53
C00069,Relax Journey World,kttp://www.relaxjourneyworld.com,Hospitality,Theme Park,"[Owner, Manager:P3c52, Manager, Employee:Pa7c7, Employee, Employee, Employee:P5f44, Employee]",Work: (445) 942-3188,2096,[],Regional,"[P6a31, P4f5e, P9dda, Pad7b, Pfeea, Pbcb3, P0450]","Business: 49234 Jackson Creek , Gregorymouth, WV - 24812",[],0.37
C00070,EducateCenter School,kttps://www.educatecenterschool.com,Education,Public 7-9,"[Owner:P12c3, Manager, Manager, Employee:P0b84, Employee, Employee, Employee, Employee]",Work: (538) 415-1555,2061,[],Regional,"[P5610, P1ee0]","Business: 332 Matthew Trail, East Frederick, FL - 34627",[],0.17
C00071,Circuit Ware Network,kttp://www.circuitwarenetwork.com,Technology,Community,"[Owner, Manager:P833d, Manager, Employee, Employee:Pcd19, Employee, Employee, Employee]",Work: (722) 166-2077,2005,[],Regional,"[Pf619, P054f, Pea0f, P8eb4, P2d4e, Pe4d9, P31e3, Pbdb9, Pd12f, Pcd9f, P27d3, Pa33c, P6761, P1a34, P833d, P11b9, P45c4, P1ac2, P51c8, P3c52, Paba6, P4f71, P8b2c, P8bdf, P169f]","Business: 36076 Edward Prairie , Joshualand, NV - 89406",[],0.84
C00072,FinanceWise Capital,kttps://www.financewisecapital.com,Finance,Investment Firm,"[Owner, Manager, Manager:Pb8ac, Employee:P8b0c, Employee, Employee, Employee, Employee]",Work: (643) 989-9158,2085,[],Regional,"[P3650, Pa9bf, P69b2, P3017, Pbd10, Pb8fa, P93a5, Pae6f]","Business: 98396 Kathleen Spurs , Port Brandy, ME - 04347",[],0.91
C00073,Sound World Novels,kttps://www.soundworldnovels.com,Entertainment,Books,"[Owner, Manager, Manager, Employee, Employee, Employee:P05ad, Employee, Employee]",Work: (437) 107-7796,2094,[],Regional,[],"Business: 321 Dawn Ramp, North Timothyton, PA - 16631",[],0.02
C00074,Zoom Wagon Autos,kttps://www.zoomwagonautos.com,Automotive,Dealership,"[Owner, Manager:Pe23b, Manager, Employee:Pbd10, Employee, Employee, Employee:P02c9, Employee]",Work: (114) 406-9039,2093,[],Regional,"[P12c3, P53f5]","Business: 757 Lori Rapid, East Angelastad, MD - 21783",[],0.13
C00075,EducateCampus School,kttp://www.educatecampusschool.com,Education,Public 7-9,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (179) 807-2997,2095,[],Regional,"[P9263, P5802, Pc125, P066e, P8ab5, P220d, Pc560, P4a70, P5f44, P2f63, Pa7c7, Pf851, P95c1]","Business: 56233 Woodard Loaf , Sextonburgh, AK - 99741",[],0.97
